"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3582","#Vaccination does not guarantee immunity. Many do not respond to their vaccines and immunity wanes within 2-15 year… https://t.co/uHCFfser6x",FALSE,0,NA,2019-02-27 20:45:47,TRUE,NA,"1100859564075900928",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","leslierachelle",0,FALSE,FALSE,NA,NA
"3583","We have heard of a influx of #influenza cases recently, Do your part to stop the spread of #flu at home.… https://t.co/YVNNXNDBJt",FALSE,1,NA,2019-02-27 20:42:58,TRUE,NA,"1100858855712571392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NM_PublicHealth",0,FALSE,FALSE,NA,NA
"3584","RT @Salud_CZ8: Brigada de vacunación del Distrito 09D05  captan grupos prioritarios que deben recibir la vacuna contra el virus de la #Infl…",FALSE,0,NA,2019-02-27 20:40:34,FALSE,NA,"1100858250889777153",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CatalinCamacho9",18,TRUE,FALSE,NA,NA
"3585","RT @Salud_CZ8: Profesionales de salud en la búsqueda de grupos prioritarios para aplicar vacuna contra la #Influenza. Acuden a  lugares de…",FALSE,0,NA,2019-02-27 20:40:19,FALSE,NA,"1100858186721042435",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CatalinCamacho9",20,TRUE,FALSE,NA,NA
"3586","RT @viracoreurofins: Viracor’s Baloxavir marboxil #Influenza A Antiviral Resistance #PCR test can help detect resistance in critical and #i…",FALSE,0,NA,2019-02-27 20:39:51,FALSE,NA,"1100858068932415488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dradianaperales",4,TRUE,FALSE,NA,NA
"3587","Sabin applauds the leadership of @SenMarkey, Rep. @rosadelauro and cosponsors to commit federal funding for univers… https://t.co/IBpEsD0mIT",FALSE,2,NA,2019-02-27 20:39:28,TRUE,NA,"1100857974938132481",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DrBGellin",1,FALSE,FALSE,NA,NA
"3588","RT @Salud_CZ8: Brigadas del Distrito 09D05  continúan en la jornada de vacunación contra el virus de la #Influenza, visitando iglesias,  me…",FALSE,0,NA,2019-02-27 20:39:21,FALSE,NA,"1100857944533544962",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CatalinCamacho9",22,TRUE,FALSE,NA,NA
"3589","RT @CDCFlu: CDC estimates up to 90% of seasonal flu-related deaths occur in people 65+. A recent CDC co-authored meta-analysis found high-d…",FALSE,0,NA,2019-02-27 20:37:57,FALSE,NA,"1100857591704535041",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AVACNow",24,TRUE,FALSE,NA,NA
"3590","#Flu can be most effectively treated within 48 hours after symptom onset, making accurate and timely #diagnosis cri… https://t.co/PIhwclmCMU",FALSE,5,NA,2019-02-27 20:36:24,TRUE,NA,"1100857200807952384",NA,"<a href=""http://www.salesforce.com"" rel=""nofollow"">Salesforce - Social Studio</a>","BDandCo",1,FALSE,FALSE,NA,NA
"3591","""How you feeling Tommy?""....
""I feel pale""....
#flu https://t.co/d9ikkQ1ETv",FALSE,20,NA,2019-02-27 20:33:26,FALSE,NA,"1100856456147025920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hallsofllandaff",1,FALSE,FALSE,NA,NA
"3592","RT @sickweather: Government officials have an important message for the public: A new, more deadly strain of the #flu is on the rise across…",FALSE,0,NA,2019-02-27 20:32:37,FALSE,NA,"1100856249862836224",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DavidDoc",3,TRUE,FALSE,NA,NA
"3593","Government officials have an important message for the public: A new, more deadly strain of the #flu is on the rise… https://t.co/gVIgI4DEWn",FALSE,2,NA,2019-02-27 20:30:09,TRUE,NA,"1100855628950630405",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","sickweather",3,FALSE,FALSE,NA,NA
"3594","RT @CDCFlu: CDC estimates up to 90% of seasonal flu-related deaths occur in people 65+. A recent CDC co-authored meta-analysis found high-d…",FALSE,0,NA,2019-02-27 20:28:47,FALSE,NA,"1100855283746770948",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","chukanestor",24,TRUE,FALSE,NA,NA
"3595","RT @HHSGov: As this year's flu season intensifies, remember: It's never too late to fight the #flu! Getting vaccinated is still the best wa…",FALSE,0,NA,2019-02-27 20:25:28,FALSE,NA,"1100854450250502145",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","plattehealth",50,TRUE,FALSE,NA,NA
"3596","RT @HHSGov: As this year's flu season intensifies, remember: It's never too late to fight the #flu! Getting vaccinated is still the best wa…",FALSE,0,NA,2019-02-27 20:24:07,FALSE,NA,"1100854111040241664",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","PlacerCA",50,TRUE,FALSE,NA,NA
"3597","Glad to see that legislators are getting their briefings from #flu experts.  We support the quest for a universal f… https://t.co/MLgXxw63Y1",FALSE,4,NA,2019-02-27 20:22:35,TRUE,NA,"1100853726145888257",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","famfightflu",1,FALSE,FALSE,NA,NA
"3598","RT @GSKUS: #DYK how #flu vaccines are made? Our own Dr. Len Friedland goes #behindthescience w/ @PeiSzeCheng4NY of @NBCNewYork to explain h…",FALSE,0,NA,2019-02-27 20:20:42,FALSE,NA,"1100853250268561408",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","famfightflu",4,TRUE,FALSE,NA,NA
"3599","RT @Korn_Ferry: Fun fact: That #flu that's getting passed around the office is just as #contagious as your own #emotions. @DanielGolemanEI…",FALSE,0,NA,2019-02-27 20:17:19,FALSE,NA,"1100852398287978497",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","francoisnouri",1,TRUE,FALSE,NA,NA
"3600","RT @CDCFlu: CDC estimates up to 90% of seasonal flu-related deaths occur in people 65+. A recent CDC co-authored meta-analysis found high-d…",FALSE,0,NA,2019-02-27 20:17:11,FALSE,NA,"1100852364658073600",NA,"<a href=""https://meta-evidence.co.uk"" rel=""nofollow"">Systematic Review Bot</a>","EvidenceRobot",24,TRUE,FALSE,NA,NA
"3601","RT @CDCFlu: CDC estimates up to 90% of seasonal flu-related deaths occur in people 65+. A recent CDC co-authored meta-analysis found high-d…",FALSE,0,NA,2019-02-27 20:16:52,FALSE,NA,"1100852285221986304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","purpleduck76",24,TRUE,FALSE,NA,NA
"3602","RT @Holly_Hanna: Are you allowed to call in sick as a full-time, work-at-home employee? Better check your company's policies first! https:/…",FALSE,0,NA,2019-02-27 20:16:46,FALSE,NA,"1100852259334676484",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lightling",2,TRUE,FALSE,NA,NA
"3603","RT @HHSGov: As this year's flu season intensifies, remember: It's never too late to fight the #flu! Getting vaccinated is still the best wa…",FALSE,0,NA,2019-02-27 20:16:11,FALSE,NA,"1100852113570172928",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NCFam_United",50,TRUE,FALSE,NA,NA
"3604","Yo @flu",FALSE,0,NA,2019-02-27 20:15:08,FALSE,NA,"1100851849165447168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_quail2k",0,FALSE,FALSE,NA,NA
"3605","When taken with the potentially higher incidence of high risk chronic conditions in those over 65, which leads to i… https://t.co/fVQt5qvddb",FALSE,1,NA,2019-02-27 20:14:44,TRUE,NA,"1100851747688509440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lj_tan",2,FALSE,FALSE,NA,NA
"3606","RT @CDCFlu: CDC estimates up to 90% of seasonal flu-related deaths occur in people 65+. A recent CDC co-authored meta-analysis found high-d…",FALSE,0,NA,2019-02-27 20:11:46,FALSE,NA,"1100851001244844032",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","theReal_Rebel",24,TRUE,FALSE,NA,NA
"3607","I'm finally starting 2 feel better I had the #gi #flu #BestFansArmy #limelights #iheartawards #kcas #whydontwe… https://t.co/XRfukXz32n",FALSE,0,NA,2019-02-27 20:11:14,TRUE,NA,"1100850868059033600",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","jenloveszach",0,FALSE,FALSE,NA,NA
"3608","RT @ViraBurnayeva: BCBS gives a pediatrician $400 per child who's got 100% of #vaccines (including #Flu) they recommend by age of 2.

It's…",FALSE,0,NA,2019-02-27 20:11:02,FALSE,NA,"1100850819505799168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Doc_Durham",5,TRUE,FALSE,NA,NA
"3609","RT @CDCFlu: CDC estimates up to 90% of seasonal flu-related deaths occur in people 65+. A recent CDC co-authored meta-analysis found high-d…",FALSE,0,NA,2019-02-27 20:09:05,FALSE,NA,"1100850326092083201",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ChicagoScience",24,TRUE,FALSE,NA,NA
"3610","CDC estimates up to 90% of seasonal flu-related deaths occur in people 65+. A recent CDC co-authored meta-analysis… https://t.co/9wyJAOyRSs",FALSE,35,NA,2019-02-27 20:08:01,TRUE,NA,"1100850058478661632",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","CDCFlu",24,FALSE,FALSE,NA,NA
"3611","RT @censia_salud: Niñas y niños de entre 6 meses a menos de 5 años de edad tienen que ser vacunados contra #influenza. La vacuna es gratuit…",FALSE,0,NA,2019-02-27 20:07:32,FALSE,NA,"1100849938576166914",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SeguroPopularSo",9,TRUE,FALSE,NA,NA
"3612","Niñas y niños de entre 6 meses a menos de 5 años de edad tienen que ser vacunados contra #influenza. La vacuna es g… https://t.co/fweW6wOJ2M",FALSE,10,NA,2019-02-27 20:05:00,TRUE,NA,"1100849299175354368",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","censia_salud",9,FALSE,FALSE,NA,NA
"3613","Are you allowed to call in sick as a full-time, work-at-home employee? Better check your company's policies first!… https://t.co/DjcZ0pioCF",FALSE,0,NA,2019-02-27 20:03:50,TRUE,NA,"1100849008107495424",NA,"<a href=""http://meetedgar.com"" rel=""nofollow"">Meet Edgar</a>","Holly_Hanna",2,FALSE,FALSE,NA,NA
"3614","This week, #Sanofi’s Gary Nabel joined #influenza experts on Capitol Hill to brief congress on the quest for a univ… https://t.co/Pe54FcsJbL",FALSE,7,NA,2019-02-27 20:03:05,TRUE,NA,"1100848818944442368",NA,"<a href=""https://www.spredfast.com/"" rel=""nofollow"">Spredfast app</a>","SanofiUS",0,FALSE,FALSE,NA,NA
"3615","Oseltamivir (Tamiflu) in children….reduction of duration of illness by ~18 hours and reduction of 34% of developing… https://t.co/IZQ7eERydR",FALSE,1,NA,2019-02-27 20:01:07,TRUE,NA,"1100848321776836608",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","OSUEMEdu",0,FALSE,FALSE,NA,NA
"3616","Wonders of Sweet Basil (Migraines, Insomnia, Colds &amp; Flu) #basil #cold #flu #headache #migraine https://t.co/zlCZnfWT8O",FALSE,0,NA,2019-02-27 20:01:03,FALSE,NA,"1100848305179897856",NA,"<a href=""https://www.blog2social.com"" rel=""nofollow"">Blog2Social APP</a>","pioneerthinking",0,FALSE,FALSE,NA,NA
"3617","RT @Salud_CZ8: Brigadas de vacunación recorren por las calles de #Pascuales inmunizando a grupos prioritarios  contra la #Influenza #Tempor…",FALSE,0,NA,2019-02-27 19:58:03,FALSE,NA,"1100847552671428609",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CarrielGianny",25,TRUE,FALSE,NA,NA
"3618","Great sales on gluten-free collagen, cold &amp; flu remedies and fat enzymes this week @themarketstores! See… https://t.co/5Gmaq7stVU",FALSE,1,NA,2019-02-27 19:57:36,TRUE,NA,"1100847436744937473",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheCeliacScene",0,FALSE,FALSE,NA,NA
"3619","Fantastic three days on the Hill talking about the importance of #pandemic preparedness and #flu #vaccine innovatio… https://t.co/HfhMwRLScC",FALSE,2,NA,2019-02-27 19:50:38,TRUE,NA,"1100845682242584584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jtenenbaum",0,FALSE,FALSE,NA,NA
"3620","RT @CleveClinicCan: Study: People with the #flu can exhale tiny droplets containing the virus that stay suspended in the air. If you feel y…",FALSE,0,NA,2019-02-27 19:50:30,FALSE,NA,"1100845652219781122",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SPKwomenshealth",1,TRUE,FALSE,NA,NA
"3621",".@realDonaldTrump #Vaccination does not guarantee immunity. Many do not respond to their vaccines and immunity wane… https://t.co/tQGFBbp9Zp",FALSE,0,NA,2019-02-27 19:46:16,TRUE,NA,"1100844586065379333",NA,"<a href=""https://www.votervoice.net"" rel=""nofollow"">VoterVoice Tweet</a>","apemke",0,FALSE,FALSE,NA,NA
"3622",".@SecAzar #Vaccination does not guarantee immunity. Many do not respond to their vaccines and immunity wanes within… https://t.co/OrjG0oqgBd",FALSE,0,NA,2019-02-27 19:46:16,TRUE,NA,"1100844585352351745",NA,"<a href=""https://www.votervoice.net"" rel=""nofollow"">VoterVoice Tweet</a>","apemke",0,FALSE,FALSE,NA,NA
"3623","RT @Salud_CZ8: Brigadas de vacunación recorren por las calles de #Pascuales inmunizando a grupos prioritarios  contra la #Influenza #Tempor…",FALSE,0,NA,2019-02-27 19:42:01,FALSE,NA,"1100843517851635718",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GrovEric19",25,TRUE,FALSE,NA,NA
"3624","Chi afferma di riuscire a ripiegare nell’identico modo il foglietto illustrativo dopo averlo letto tutto attentamen… https://t.co/YKdnfowsDK",FALSE,0,NA,2019-02-27 19:41:49,TRUE,NA,"1100843465062129665",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FlaviaMaggio",0,FALSE,FALSE,NA,NA
